Location ,Area,Room,Age,Num of Floor,Wash Room,Basment,Mount,Swimming Pool,Lawn,Kitchen,Bed_Room,Electric Connection,Gas Connection,Corner Plot,Solar System,Commercial,Business & Comminication,Price,Type
Model Town,10890,2,old,2,4,no,Yes,no,Yes,1,3,Yes,Yes,No,No,Yes,Yes,300000000,House
Model Town,5990,4,old,2,4,no,Yes,no,Yes,1,4,Yes,Yes,No,No,Yes,Yes,82500000,House
Model Town,10890,10,new,2,6,Yes,Yes,no,Yes,2,6,Yes,Yes,No,Yes,Yes,Yes,260000000,House
Model Town,5445,8,old,2,5,no,Yes,no,Yes,5,5,Yes,Yes,No,No,Yes,Yes,62000000,House
Model Town,2722,13,old,2,6,no,Yes,no,Yes,2,5,Yes,Yes,No,No,Yes,Yes,32000000,House
Model Town,2722,9,old,2,4,no,Yes,no,Yes,1,4,Yes,Yes,No,No,Yes,Yes,30000000,House
Model Town,10890,5,old,2,6,no,Yes,no,Yes,2,6,Yes,Yes,No,No,Yes,Yes,160000000,House
Model Town,10890,6,old,2,6,no,Yes,no,Yes,2,6,Yes,Yes,Yes,No,Yes,Yes,140000000,House
Model Town,2722,5,old,2,3,no,Yes,no,Yes,1,3,Yes,Yes,No,No,Yes,Yes,40000000,House
Model Town,8167,5,new,2,4,no,Yes,no,Yes,1,3,Yes,Yes,Yes,No,Yes,Yes,82500000,House
Model Town,10890,14,old,3,10,Yes,Yes,Yes,Yes,2,9,Yes,Yes,No,Yes,Yes,Yes,135000000,House
Model Town,38115,12,old,2,7,no,Yes,no,Yes,2,6,Yes,Yes,No,No,Yes,Yes,360000000,House
Model Town,10890,11,new,2,7,no,Yes,no,Yes,2,6,Yes,Yes,No,Yes,Yes,Yes,75000000,House
Model Town,8167,14,new,2,10,no,Yes,Yes,Yes,2,10,Yes,Yes,No,Yes,Yes,Yes,19500000,House
Model Town,2722,11,old,2,4,no,Yes,no,Yes,1,4,Yes,Yes,No,Yes,Yes,Yes,38500000,House
Model Town,2722,8,old,2,4,no,Yes,no,Yes,1,3,Yes,Yes,No,Yes,Yes,Yes,40000000,House
Model Town,3811,11,old,2,5,no,Yes,no,Yes,1,4,Yes,Yes,Yes,No,Yes,Yes,45000000,House
Model Town,10890,5,new,2,9,no,Yes,no,Yes,2,7,Yes,Yes,No,No,Yes,Yes,165000000,House
Model Town,5445,8,old,1,3,no,No,no,Yes,1,1,Yes,No,No,Yes,Yes,Yes,80000000,House
Model Town,21780,10,old,2,5,no,Yes,no,Yes,2,4,Yes,No,No,Yes,Yes,Yes,230000000,House
Model Town,5445,8,old,2,4,no,No,no,Yes,1,4,Yes,No,No,No,Yes,Yes,65000000,House
Model Town,5445,5,old,2,6,no,Yes,no,Yes,1,6,Yes,No,No,No,Yes,Yes,80000000,House
Model Town,5445,5,old,2,6,no,Yes,no,Yes,0,6,Yes,No,No,No,Yes,Yes,82000000,House
Model Town,5445,5,old,2,6,no,Yes,no,Yes,2,5,Yes,Yes,No,No,Yes,Yes,80000000,House
Model Town,16335,7,old,2,1,no,No,no,Yes,4,10,Yes,Yes,No,No,No,Yes,300000000,House
Model Town,7078,5,new,2,6,no,Yes,no,Yes,2,5,Yes,Yes,No,Yes,Yes,Yes,140000000,House
Model Town,16335,14,old,1,6,no,No,no,Yes,1,5,Yes,Yes,Yes,Yes,Yes,Yes,210000000,House
Model Town,16335,12,old,2,8,no,Yes,no,Yes,2,7,Yes,Yes,No,Yes,No,Yes,230000000,House
Model Town,10890,8,new,2,7,Yes,Yes,no,Yes,1,7,Yes,Yes,No,No,Yes,Yes,160000000,House
Model Town,10890,10,old,2,5,no,Yes,no,Yes,1,5,Yes,Yes,No,No,No,Yes,155000000,House
Model Town,8712,5,new,2,8,no,No,no,Yes,2,6,Yes,Yes,Yes,Yes,Yes,Yes,160000000,House
Model Town,16335,5,old,1,5,no,No,no,Yes,1,4,Yes,Yes,Yes,Yes,Yes,Yes,230000000,House
Model Town,545,2,new,1,1,Yes,Yes,no,No,1,2,Yes,No,No,No,No,Yes,5000000,Flat
Model Town,16335,9,new,2,8,no,No,no,Yes,2,6,Yes,Yes,No,Yes,Yes,Yes,230000000,House
Model Town,8167,4,old,2,5,no,No,no,Yes,1,5,Yes,Yes,No,Yes,No,Yes,80000000,House
Model Town,2722,1,old,4,2,no,No,no,Yes,1,0,Yes,Yes,No,No,No,Yes,22200000,Hall
Model Town,8712,20,old,1,8,no,Yes,no,Yes,2,6,Yes,Yes,No,Yes,Yes,Yes,160000000,House
Model Town,70785,26,old,2,8,no,Yes,no,Yes,2,6,Yes,Yes,No,Yes,Yes,Yes,230000000,House
Model Town,10890,20,new,2,8,no,Yes,no,Yes,2,6,Yes,Yes,No,Yes,Yes,Yes,160000000,House
Model Town,8712,21,new,2,9,no,Yes,no,Yes,2,6,Yes,Yes,No,Yes,Yes,Yes,170000000,House
Model Town,16335,28,old,2,7,no,Yes,no,Yes,2,6,Yes,Yes,No,No,Yes,Yes,240000000,House
Model Town,11434,30,new,2,8,no,Yes,no,Yes,2,7,Yes,Yes,No,Yes,Yes,Yes,165000000,House
Model Town,7078,15,new,1,6,no,Yes,no,Yes,1,5,Yes,Yes,No,Yes,Yes,Yes,100000000,House
Model Town,16335,10,old,2,5,no,Yes,no,Yes,1,5,Yes,Yes,Yes,No,No,Yes,240000000,House
Model Town,10890,33,old,3,10,no,Yes,no,Yes,2,9,Yes,Yes,No,Yes,Yes,Yes,135000000,House
Model Town,10890,18,old,1,6,no,Yes,no,Yes,2,6,Yes,Yes,No,Yes,No,Yes,170000000,House
Model Town,5445,17,old,2,6,no,Yes,no,Yes,2,5,Yes,Yes,No,Yes,No,Yes,80000000,House
Model Town,5445,19,new,2,7,no,Yes,no,Yes,2,7,Yes,Yes,No,Yes,No,Yes,55000000,House
Model Town,2722,10,old,1,4,no,Yes,no,No,2,4,Yes,Yes,No,Yes,No,Yes,33000000,House
